Participant;sortID;Condition;Mobile Scenario;Layout;Run;Time needed (s);Characters Shown;Key Strokes;CPS;WPM;KSPC;TLXw;TLX
 5;5;QS;Standing;QWERTY;1;171.78;71;103;0.413319362;4.96;1.45;10.87;9.00
 5;6;QW;Walking;QWERTY;2;150.38;97;99;0.645032584;7.74;1.02;8.67;10.17
 5;7;OW;Walking;OPTI;3;196.62;73;103;0.37127454;4.46;1.41;11.60;13.00
 5;8;OS;Standing;OPTI;4;181.82;88;102;0.48399516;5.81;1.16;12.33;12.33
 6;9;QW;Walking;QWERTY;1;178.5;96;132;0.537815126;6.45;1.38;13.13;11.17
 6;10;QS;Standing;QWERTY;2;136.57;76;102;0.556491177;6.68;1.34;12.20;9.67
 6;11;OW;Walking;OPTI;3;165.03;93;109;0.563533903;6.76;1.17;7.87;6.67
 6;12;OS;Standing;OPTI;4;172.74;97;135;0.561537571;6.74;1.39;8.00;7.17
 7;13;QS;Standing;QWERTY;1;141.74;80;96;0.564413715;6.77;1.2;12.80;11.17
 7;14;QW;Walking;QWERTY;2;127.55;85;107;0.666405331;8;1.26;12.47;12.33
 7;15;OS;Standing;OPTI;3;98.87;61;77;0.616971781;7.4;1.26;8.33;7.17
 7;16;OW;Walking;OPTI;4;155.63;78;130;0.501188717;6.01;1.67;9.80;10.17
 8;17;OS;Standing;OPTI;1;238.36;90;100;0.377580131;4.53;1.11;13.73;12.67
 8;18;OW;Walking;OPTI;2;232.17;95;133;0.409182926;4.91;1.4;15.33;13.83
 8;19;QS;Standing;QWERTY;3;207.74;88;120;0.423606431;5.08;1.36;12.07;11.33
 8;20;QW;Walking;QWERTY;4;162.04;80;102;0.493705258;5.92;1.28;9.47;9.83
 10;21;OS;Standing;OPTI;1;208.84;86;144;0.411798506;4.94;1.67;8.47;7.83
 10;22;OW;Walking;OPTI;2;189.38;90;134;0.475234977;5.7;1.49;8.33;7.17
 10;23;QW;Walking;QWERTY;3;158.41;80;118;0.505018623;6.06;1.48;7.93;6.83
 10;24;QS;Standing;QWERTY;4;118.68;99;113;0.834175935;10.01;1.14;6.87;4.33
 11;25;OW;Walking;OPTI;1;141.83;77;83;0.542903476;6.51;1.08;13.93;12.50
 11;26;OS;Standing;OPTI;2;149.87;85;92;0.567158204;6.81;1.08;14.00;11.33
 11;27;QW;Walking;QWERTY;3;149.87;70;76;0.467071462;5.6;1.09;11.40;10.00
 11;28;QS;Standing;QWERTY;4;80.03;73;75;0.912157941;10.95;1.03;11.07;7.83
 12;29;QS;Standing;QWERTY;1;153.08;82;94;0.535667625;6.43;1.15;11.13;10.00
 12;30;QW;Walking;QWERTY;2;254.99;94;170;0.368641908;4.42;1.81;13.60;11.83
 12;31;OS;Standing;OPTI;3;165.66;82;90;0.494989738;5.94;1.1;12.93;11.33
 12;32;OW;Walking;OPTI;4;147.22;84;96;0.57057465;6.85;1.14;12.80;11.00
 13;33;QW;Walking;QWERTY;1;132.1;84;92;0.635881908;7.63;1.1;13.60;13.17
 13;34;QS;Standing;QWERTY;2;115.15;78;96;0.677377334;8.13;1.23;13.13;13.67
 13;35;OS;Standing;OPTI;3;119.01;83;87;0.697420385;8.37;1.05;11.60;9.83
 13;36;OW;Walking;OPTI;4;166.35;91;101;0.547039375;6.56;1.11;15.73;15.00
 14;37;QS;Standing;QWERTY;1;178.93;72;84;0.402391997;4.83;1.17;10.47;8.33
 14;38;QW;Walking;QWERTY;2;129.13;72;74;0.557577635;6.69;1.03;11.73;10.17
 14;39;OW;Walking;OPTI;3;214.26;87;91;0.406048726;4.87;1.05;11.87;10.83
 14;40;OS;Standing;OPTI;4;135.96;79;79;0.581053251;6.97;1;14.80;10.50
 15;41;QW;Walking;QWERTY;1;276.35;82;192;0.296725167;3.56;2.34;12.47;12.00
 15;42;QS;Standing;QWERTY;2;185.65;81;133;0.436304875;5.24;1.64;11.67;10.33
 15;43;OW;Walking;OPTI;3;222.51;98;140;0.440429644;5.29;1.43;11.47;11.00
 15;44;OS;Standing;OPTI;4;186.12;97;133;0.521169138;6.25;1.37;9.67;8.50
